epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,293.74,1.88927,3.46733,1.71308,0.36719,0.05542,0.09228,0.05001,2.08008,4.48851,1.92402,0.000547118,0.000547118,0.000547118
2,580.593,1.81483,2.60993,1.58228,0.32944,0.24429,0.23082,0.08488,2.16204,3.43634,1.9904,0.00109733,0.00109733,0.00109733
3,865.225,1.88302,2.4684,1.59783,0.31299,0.2308,0.16045,0.07537,2.273,3.68144,2.0567,0.00164203,0.00164203,0.00164203
4,1148.76,1.86568,2.22482,1.62152,0.29867,0.22343,0.16041,0.06655,2.27845,4.08923,1.96339,0.00164225,0.00164225,0.00164225
5,1433.42,1.8501,2.05695,1.58598,0.59253,0.33729,0.35478,0.15463,2.0711,2.81094,1.82545,0.00163399,0.00163399,0.00163399
6,1717.48,1.82909,1.91547,1.57535,0.48825,0.39359,0.37778,0.16752,2.12981,2.34583,1.86204,0.00162574,0.00162574,0.00162574
7,2003.6,1.88141,1.9505,1.60139,0.59685,0.49138,0.50166,0.25196,1.97069,2.36461,1.78698,0.00161749,0.00161749,0.00161749
8,2289.08,1.80168,1.81642,1.55685,0.6045,0.59094,0.58222,0.27215,2.06017,1.84023,1.88397,0.00160924,0.00160924,0.00160924
9,2573.87,1.72368,1.7134,1.53148,0.63651,0.44352,0.48374,0.25255,1.95016,2.34965,1.82855,0.00160099,0.00160099,0.00160099
10,2857.32,1.73133,1.64907,1.51838,0.69372,0.54436,0.57929,0.28621,1.94861,1.77955,1.73231,0.00159274,0.00159274,0.00159274
11,3146.28,1.69781,1.56967,1.47145,0.7292,0.57588,0.61607,0.30952,1.98597,1.77398,1.75056,0.00158448,0.00158448,0.00158448
12,3429.87,1.69096,1.6376,1.49984,0.6788,0.49315,0.52678,0.24136,2.06293,1.8633,1.78676,0.00157623,0.00157623,0.00157623
